plants,Pod_width,Pod_Length,String_length,SPLR,FT,PH
003_401,6.00,11.83,0.57,0.05,35.00,30.00
003_403,6.50,11.67,0.17,0.01,35.00,30.00
003_404,6.00,10.67,0.17,0.02,35.00,40.00
008_401,6.50,12.50,0.33,0.03,36.00,36.00
008_402,6.80,11.67,0.17,0.02,36.00,45.00
008_403,6.30,11.83,0.33,0.03,35.00,35.00
009_401,6.00,10.83,0.50,0.05,35.00,25.00
009_402,6.00,9.83,0.23,0.03,35.00,25.00
009_403,5.00,10.00,0.17,0.02,35.00,35.00
009_404,6.50,12.50,0.60,0.05,34.00,29.00
011_401,5.50,11.33,0.67,0.06,36.00,38.00
011_402,5.50,10.33,0.17,0.02,36.00,30.00
011_403,6.50,11.83,0.83,0.07,36.00,35.00
014_402,5.50,10.77,0.50,0.05,NA,26.00
022_402,6.30,11.33,0.00,0.00,35.00,32.00
022_403,6.30,11.00,0.00,0.00,35.00,34.00
022_404,6.00,11.33,0.00,0.00,35.00,38.00
027_401,5.50,10.00,0.53,0.05,35.00,25.00
027_402,5.50,9.00,0.00,0.00,35.00,26.00
027_403,4.80,7.83,0.00,0.00,35.00,25.00
028_401,8.10,13.10,0.40,0.03,33.00,31.00
028_402,8.50,12.83,0.97,0.08,33.00,40.00
028_403,8.00,12.27,0.67,0.05,35.00,32.00
037_401,7.50,11.00,0.90,0.08,36.00,37.00
037_402,7.50,11.83,1.17,0.10,36.00,36.00
037_403,6.50,10.27,0.40,0.04,36.00,22.00
037_407,8.00,9.57,0.20,0.02,NA,NA
041_401,6.80,12.93,0.57,0.04,37.00,40.00
041_402,6.30,12.17,0.43,0.04,37.00,45.00
041_403,6.50,11.67,0.50,0.05,37.00,31.00
046_401,7.00,11.30,1.23,0.11,36.00,30.00
046_402,7.50,11.33,0.50,0.04,36.00,26.00
046_403,7.50,11.83,0.70,0.06,35.00,23.00
046_404,8.00,11.93,1.33,0.11,35.00,27.00
049_401,7.00,11.50,0.43,0.04,35.00,33.00
049_402,7.50,10.93,0.47,0.04,35.00,22.00
049_403,7.50,11.67,0.90,0.08,35.00,30.00
049_406,8.00,9.33,0.23,0.02,NA,NA
050_401,6.00,10.83,0.00,0.00,39.00,29.00
050_402,6.80,11.00,0.65,0.06,39.00,26.00
050_406,NA,NA,NA,NA,NA,NA
051_404,8.50,12.10,3.53,0.30,35.00,53.00
052_401,7.50,13.93,0.00,0.00,35.00,37.00
052_403,7.50,13.77,0.47,0.03,35.00,33.00
052_404,7.50,13.00,0.83,0.06,35.00,37.00
052_405,7.50,13.30,0.47,0.04,NA,NA
054_401,7.00,11.67,0.80,0.07,32.00,23.00
054_402,6.50,10.83,0.17,0.02,32.00,23.00
054_403,6.80,11.83,0.17,0.01,32.00,20.00
055_401,8.30,13.50,6.17,0.46,29.00,33.00
055_402,8.50,15.00,0.67,0.05,35.00,38.00
055_403,8.20,15.33,2.23,0.14,29.00,38.00
055_404,8.00,15.50,1.77,0.11,35.00,32.00
055_407,8.75,12.90,4.83,0.38,NA,NA
059_401,7.40,12.67,0.27,0.02,35.00,27.00
059_402,6.20,12.17,0.57,0.05,35.00,32.00
059_403,7.30,12.67,0.50,0.04,35.00,27.00
059_404,7.00,11.93,0.60,0.05,35.00,27.00
060_401,7.50,12.67,1.83,0.15,32.00,38.00
060_403,7.00,12.07,1.70,0.14,32.00,33.00
060_404,6.50,11.50,0.70,0.06,33.00,25.00
062_401,7.50,12.10,0.00,0.00,36.00,33.00
062_402,6.70,11.50,1.60,0.14,36.00,27.00
062_403,7.30,12.50,0.27,0.02,36.00,35.00
062_404,7.30,11.73,0.67,0.06,36.00,30.00
063_404,8.00,12.33,0.97,0.08,35.00,28.00
063_406,9.50,11.23,2.17,0.19,NA,NA
064_402,7.50,11.50,0.27,0.02,29.00,22.00
064_403,7.50,10.43,0.83,0.08,35.00,28.00
064_404,8.00,12.60,1.27,0.10,35.00,27.00
068_401,7.50,11.10,1.43,0.13,36.00,30.00
068_402,8.00,10.77,0.67,0.06,37.00,34.00
068_403,8.50,11.83,1.23,0.10,37.00,27.00
068_404,8.50,10.43,1.33,0.13,37.00,34.00
078_401,8.50,14.00,0.33,0.02,39.00,38.00
078_403,8.50,13.17,0.33,0.03,39.00,38.00
078_405,10.50,10.17,0.27,0.03,NA,NA
094_402,8.50,11.70,0.10,0.01,37.00,27.00
094_403,8.30,12.33,0.00,0.00,34.00,32.00
094_404,8.20,12.80,0.90,0.07,37.00,23.00
095_401,8.00,11.43,0.23,0.02,39.00,33.00
095_402,8.50,12.00,0.40,0.04,39.00,33.00
095_403,7.50,11.33,0.50,0.05,39.00,25.00
095_404,7.30,10.50,0.47,0.05,39.00,25.00
095_491,7.50,11.67,0.67,0.06,37.00,36.00
095_492,6.30,8.67,0.00,0.00,37.00,33.00
095_493,8.00,10.50,0.33,0.03,37.00,36.00
096_401,8.50,13.67,1.03,0.08,29.00,33.00
096_402,8.00,13.50,1.47,0.11,29.00,35.00
096_403,9.50,13.63,0.73,0.05,29.00,30.00
097_401,9.00,12.00,0.40,0.03,35.00,39.00
097_402,8.00,12.33,0.73,0.06,35.00,40.00
097_403,8.80,12.33,0.17,0.01,35.00,42.00
115_402,8.50,12.50,0.57,0.05,35.00,25.00
115_403,NA,NA,NA,NA,35.00,30.00
115_404,8.50,12.83,0.00,0.00,35.00,30.00
119_402,8.00,11.17,0.97,0.09,37.00,33.00
119_404,8.50,12.33,2.83,0.23,37.00,32.00
119_405,10.50,11.33,2.27,0.20,NA,NA
121_401,8.50,13.83,0.17,0.01,30.00,30.00
